"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","Suara Kebebasan - SK Radio Streaming Indonesia https://t.co/HzvvijUeiV",FALSE,0,NA,2020-08-12 11:29:31,FALSE,NA,"1293509917190402048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HendriPM99",0,FALSE,FALSE,NA,NA
"19","Gibran Sambangi kediaman Ketua Umum @Official_PAN @ZUL_Hasan. Dapat SK dukungan dan wejangan penuh makna tentang an… https://t.co/0RiAKMwVGL",FALSE,0,NA,2020-08-12 10:37:18,TRUE,NA,"1293496777723670528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeritaPAN",1,FALSE,FALSE,NA,NA
"20","RT @imgoldenness: ""Akhirnya bisa rasain gimana rasanya Golden Child trending di Indonesia tanpa kita ngapa-ngapain.""

-Goldenness Indonesia…",FALSE,0,NA,2020-08-12 10:30:24,FALSE,NA,"1293495041621544960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sk_csrim",144,TRUE,FALSE,NA,NA
"21","Pertumbuhan ekonomi indonesia minus 5,32 % di kuartal II-2020,indonesia di ambang resesi.jika tidak segera diatasi,… https://t.co/RO8iEhXHyT",FALSE,1,NA,2020-08-12 10:23:23,TRUE,NA,"1293493277476286464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_galang_sk",0,FALSE,FALSE,NA,NA
"22","penistaan, atau penodaan terhadap agama yang dianut di Indonesia
5. Menggunakan nama, lambang, bendera dkk gerakan… https://t.co/FcnStoGSn8",FALSE,5,"asus_sk",2020-08-12 09:41:51,TRUE,"1293482726410993665","1293482825430097920","710983638733742080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asus_sk",2,FALSE,FALSE,NA,NA
"23","Ini bukti sk penggabungan Stie Indonesia Raya dengan Stkip Pancasakti menjadi Universitas https://t.co/Jfe2sFuQnB",FALSE,1,NA,2020-08-12 08:27:51,FALSE,NA,"1293464201533337606",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"24","Ini sk penggabungan Stie Indonesia Raya dengan Stkip Pancasakti menjadi Universitas Pancasakti https://t.co/buEGGkLhMB",FALSE,1,NA,2020-08-12 07:20:07,FALSE,NA,"1293447155680546818",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"25","Literasi orang Indonesia memang sangat rendah, even penerima beasiswa LPDP pun gabisa baca SK Beasiswa LPDP<U+0001F609> Shame on you.",FALSE,0,NA,2020-08-12 06:10:35,FALSE,NA,"1293429656008323072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gausahkepoloe",0,FALSE,FALSE,NA,NA
"26","RT @Kemlu_RI: #SahabatKemlu, berikut Perkembangan #COVID19 di Dunia &amp; Pelindungan WNI per 12/08 pkl 08.00 WIB. 

Tambahan WNI terkonfirmasi…",FALSE,0,NA,2020-08-12 05:42:50,FALSE,NA,"1293422672647528448",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",21,TRUE,FALSE,NA,NA
"27","https://t.co/4jjG5DqDxg Menurut putra Presiden kedua Indonesia Almarhum Soeharto ini, SK itu berbeda dengan SK Part… https://t.co/DUvaB4Jy53",FALSE,1,NA,2020-08-12 05:06:52,TRUE,NA,"1293413622195003392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FighterC098",0,FALSE,FALSE,NA,NA
